simple-mmr,unigramtfidf-pvdbow-w2vmdssim,75.89,46.75,56.71
simple-mmr,unigramtfidf-pvdbow-w2vmdssim-sktmdssim,75.94,46.55,56.68
simple-mmr,unigramtfidf-pvdm,75.84,46.74,56.82
simple-mmr,unigramtfidf-pvdm-pvdbow,75.68,46.78,56.76
simple-mmr,unigramtfidf-pvdm-pvdbow-sktmdssim,76.34,47.54,57.23
simple-mmr,unigramtfidf-pvdm-pvdbow-w2vmdssim,76.38,47.30,57.18
simple-mmr,unigramtfidf-pvdm-pvdbow-w2vmdssim-sktmdssim,76.29,47.43,57.16
simple-mmr,unigramtfidf-pvdm-sktmdssim,75.92,46.82,56.85
simple-mmr,unigramtfidf-pvdm-w2vmdssim,75.96,46.96,57.04
simple-mmr,unigramtfidf-pvdm-w2vmdssim-sktmdssim,76.04,46.91,56.94
simple-mmr,unigramtfidf-sktmdssim,75.70,46.78,56.76
simple-mmr,unigramtfidf-w2vmdssim,75.99,46.78,56.83
simple-mmr,unigramtfidf-w2vmdssim-sktmdssim,76.85,46.85,57.10
simple-mmr,w2vmdssim,76.09,45.08,56.06
simple-mmr,w2vmdssim-sktmdssim,75.83,43.65,55.06
